,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
35,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Central African Republic,0,0,0,0,0,0,0,1.9659745,0.98823048,0,0.037864525,0.011040312,0.036517869,0.020993737,0,0,0,0,0,0.021943003,0.080803692,0.14179022,0,0.1589192999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033388018,1.2301263,1.3542445,0.34581372,0.79308281,0,0,0.204010855,0.32137014,0.7240572774999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.5,0.1,1.3,0.4,0,0,0,0,0,0,0,0,0,13.3,11.9,12.4,11.8,11.6,13,2.5,2.5,2.5,4.4,0,0,170.2646845,136.5727626,105.805362,104.184872,103.90216,107.4457854039031
40,China,0,0,0,0,0,0,0,0,0,0,0,0,616,542,403,271,407,166,129,76,124,207,228,108,395,350,1670,4586,344,530,758,1209,2354,4620,6640,23625.899319366334,27565.19376,38395.03999,47742.80539,41600.37492,52459.64588,61576.22192,57986.59842,59491.28719,62332.34231,63937.64659,60999.99949,62850.03104726764
41,Colombia,26,22.06556,22.79991,29.80325,36.0792,23,51,81.7264,75.82,101,106,160,87,72,78,110,416,625,458,467,495,881,640.5,468.1,968.850455,814.8676394,752.7362988,773.819091,805.53507,1314.68665,1612.095089,2054.96818,2476.232774,3075.923457,3189.811009,3345.6103214079653,3899.159914,4460.194477,4826.851233,4124.862554,4030.846326,4101.315891,4018.674668,4449.8316809200005,4165.731073,4679.692776,4902.694056,5535.141589
42,Comoros,0,0,0,0,0,0,0,0,0,0,1.6187222,1.2218049,2.3675952,1.8369675,2.1398184,4.2291848,4.764614099999999,6.8012268,7.3830176,7.887009,9.9352654,10.095549,15.999876,16.029796,15.232992,12.212938,0,0,0,0,0,0,0,0,0,54.03419948,63.14134197,73.94764241,100.9169208,100.0049751,87.16699576,108.0322788,110.2097588,115.9378335,125.96024233440836,128.79280598194143,130.56020098485624,137.62652942831463
43,"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.308,4.7101,2.527,5.6,19.9,8.9,12.8,8.8,14.7,19.5,15.7,114.6,12.1994878,33.11131685,22.3783591,4.7173845,4.7173845,5.032445597093864
44,"Congo, Rep.",0,0,0,0,0,0,0,0,2.4993811,3.0885433,3.17588703,0,0,0,0,0,0.043314306,0.009982147,4.4317875,0,0,0,0,0,0,4.23922,7.819335399999999,4.5745077,1.9374465,11.6664122,10.3528731,12.119417899999998,1.1764905,12.3881557,14.954054800000002,11.37509456,0,0,0,0,0,0,0,0,0,0,0,0
45,Costa Rica,0,0,0,0,0,0,0,2,2.9,2.7,4.1,2.4,5.6,5.3,6.4,7.2,7.7,7.9,9.1,10,12,13.4,14.2,16,17.1,123.4,131.08,130.26,127.73,126.669,135.591484,198.46946,250.391218,320.908503,319.324,420.34641,513.1562908999999,617.9200875,604.768805,513.0918733,530.688786,520.2196733000001,562.342745,596.3992110600001,593.9253844,551.988512,551.423776,572.8700593768748
