Remittance outflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
China,754.29,936.0,1172.9432403348,1597.0689544748002,1997.9942757942,1817.4,2329.99281257431,2493.058145241023,2736.3907913778444,2051.656434,1455.455375,1618.147148,1788.058506,1714.202599,4155.30205229,5718.19107259,6210.890955569999,16253.28687731,16548.07839586,15135.300288470002,18295.88948274,22957.840161890002,18255.86570618,0.10206601737483222
Colombia,219.20000000000002,204.46332850050416,157.5482586654473,64.95290920230867,50.53270417051441,56.1614036064596,65.52690595971303,95.05691251864789,88.29170276565739,124.47546091634123,151.3256919154132,222.9518999935365,246.2426471701075,277.9704220087563,399.08165555090255,333.6830532413806,258.6245669696539,291.72737635256044,312.66393608391354,348.1727054507341,254.08491251704888,385.71808443218566,419.01947424246123,0.12194198108458167
Comoros,0.0,0.0,0.0,0.2115316625499024,0.3160528095089313,0.39955111495624074,0.40835158760854573,0.45574167659503845,0.6670846868845027,0.5942964713070092,0.7866116985476331,0.8953310972842202,0.8263995907601892,0.0,0.9816941795209109,1.061490514070976,0.9206015078834398,1.9291458744800085,4.708655667844136,4.660667553377052,1.0641868422708023,2.9915081711656897,4.450271137682902,0.3597632285919889
Costa Rica,142.39999999999998,140.49179145090199,147.8011106689109,192.016734,191.5482344,209.02905,246.34342936172558,271.4142813773672,268.61817199,238.59820000000002,259.38291200000003,290.54335830802535,346.0354327576023,402.6046370399864,419.22282917186755,407.7840452301908,416.12921348039833,468.50481136368705,506.6934515811335,528.443216045356,490.881074901057,541.463307521034,566.181674696706,0.8280778592378657
Croatia,92.1,100.42619467539913,128.4172186765676,157.68114635041283,165.31687114232025,197.0455731639376,262.22295697390655,345.28458872341474,392.88399538424403,350.2367657295266,332.84388829572606,363.44173724726727,247.44015642688555,390.28325889614723,443.4710122047044,413.62881395857227,424.7756767411088,466.62662671097974,532.4982420440851,532.746198797381,570.2134700473451,632.1321738226961,600.9079207927504,0.8517717310097386
Cyprus,48.199808127274885,79.2898447603301,107.04159518548265,183.9198041531987,213.44284273232904,240.67453645814555,239.60465682760812,304.6771506925051,814.0,694.8263328817073,951.9932135065138,895.4185968960155,759.751776380049,742.2617950643745,790.206517419465,634.5304366537067,689.854494167957,776.5219931458655,869.9511145750112,840.8057880004401,863.6321120321037,963.2866220024996,833.379821598221,2.9281466624441204
Czech Republic,602.8666779054441,711.1134683826393,892.5507093432246,1099.9062176162604,799.5,1340.7064598535642,1677.693601209574,2295.8093097445517,2586.100789092754,2044.6022120378718,1496.9822526705373,1522.1378501490403,1334.6259444268687,1079.1986200845472,1523.3334185186727,1376.3923393545824,1658.6047482293836,2055.5104478686976,2786.2000904471424,3447.0703544776293,3251.663148542569,4069.2206489777536,3945.5352791278087,1.3580568066168524
Denmark,661.9575289194889,744.8172196917408,860.1175777740483,1029.285318119176,1226.1774512622414,1511.6,1775.3078745045266,3053.8902145806383,4024.5810533738504,3390.9695839264136,2833.3427040010997,3148.221907694286,2979.3977067869487,3058.9952264407916,3171.598140133584,2781.2620092514344,2914.4301904719105,3140.5919423079185,3392.801094091937,3363.4229492311924,3402.4947683866085,3724.847528898944,3856.1754847349025,0.9613401021464388
Djibouti,1.761187479251186,1.7780678704261172,1.6880391174931493,4.8390454701470285,4.670241558397713,4.670241558397713,4.726509528980818,4.698375543689266,5.120385323062553,5.789974173001503,11.619335925411178,12.857231278239487,12.407087513574647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6880391174931493,1.1309862087204101,2.0,0.05461496450027307
Dominica,0.01111111111111111,0.006666666666666666,0.006233333333333333,0.0062962962962962955,0.006629629629629629,0.007144444444444445,0.00742962962962963,0.007896296296296295,0.008055555555555555,0.008085185185185185,0.008016296296296296,0.008038888888888889,1.616552222222222,1.7015888888888888,24.8,24.805920918518517,21.161683974074073,20.317892457777774,14.322031001215997,25.71845775185185,22.197612036800518,20.281319296059777,19.795941214796876,3.1572474026789275
Dominican Republic,19.3,21.7,22.5,22.9,23.9,24.7,26.6,28.2,34.5,26.9,534.0,565.5,565.2,531.1,574.8,585.0,617.1,651.4,622.7,741.1,837.3,871.8,954.5,0.8382145021207836
Ecuador,6.0,6.932673063000001,7.281253067390001,6.50469417284,6.5,54.02003699999996,62.455627095238114,83.15561815638095,65.59744357776827,95.34786585166245,135.97115248992066,148.37507353529992,154.0491085017469,167.26821110415895,195.91506363213438,291.5336622006591,302.4,371.4695047729195,467.4453074935833,654.6689802879423,518.0196714919215,603.9660534911752,636.5277209509497,0.553266626351337
"Egypt, Arab Rep.",32.0,34.7,14.4,79.1,12.8,57.2,135.0,179.6,241.3,254.8,304.8,292.9,292.7,354.9,351.4,622.7,352.2,270.8,514.5,471.9,444.9,442.1,395.4,0.08320164299046147
El Salvador,19.2,25.7,21.6,24.3,32.3,24.0,27.98,27.53,18.5,20.033,22.092947,27.192390030000002,26.89727814,27.678165540000002,51.0517282,74.34014528,164.99021216999998,187.45348393999998,189.76089938,233.04859423,186.71942160000003,262.1742255899998,275.51826666,0.8480355402136107
Estonia,3.0382264001468586,2.237405010968756,4.758523048817968,16.4,25.310403311688393,49.18988686992417,73.83084853984005,90.856579140818,127.90538658580968,92.42648802446566,123.27963708932161,113.54146349842334,113.16492502160295,100.29264508471334,113.88703568817984,93.68219244057153,121.86805290030645,150.9582748515803,234.3375430027748,249.20537665159344,244.60533240992655,285.99910396241046,332.2740439563186,0.875534357345837
Eswatini,20.743452587804175,26.487653635648854,21.147363374637532,38.85617930270654,4.102672069916641,7.976785808354502,16.586307982946778,7.861622499331119,6.339630087069432,10.725156325668893,11.692037265664387,27.799999999999997,49.54787054590652,27.141111141873015,17.501863181514103,19.330858635366774,18.84975345324301,19.467166588036147,24.23354248032353,26.89145126730286,24.421403352557462,40.599677079773244,40.56243616923009,0.8385866481130884
Ethiopia,12.556900749315643,14.02347789781563,16.578457701103947,17.266999850196143,9.223744770198806,16.399501054888237,14.131041586253405,14.567672842301786,21.3039897457363,26.549565240066666,46.967151950651015,21.832481874453357,19.88214540313963,23.077322292923796,14.253223300570529,14.437634411013919,29.86953926321458,12.461832148055002,8.68944930751725,19.080067104201305,17.079651631943072,14.213187631624374,20.498638923725096,0.01702983236857089
